materia	facultad	periodo	sede	nota	estado
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	3,6	Aprobada
Calculo_diferencial	Artes	2018-1	Principales	1	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Económicas	2018-1	Principales	3,9	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	2	Reprobada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	0,7	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	4	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Artes	2018-1	Principales	3,2	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	4,3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Exactas	2018-1	Principales	2,6	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Económicas	2018-1	Principales	1,1	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,7	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	3,2	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	1,4	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	2,3	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,9	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,4	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	0,4	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	2,2	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,3	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	uembarrio	2,1	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,2	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	1,2	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	0,4	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Artes	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	2,3	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	3,6	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	0,7	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	1,9	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,7	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,5	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	2,3	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,4	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Artes	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	1,8	Reprobada
Calculo_diferencial	Artes	2018-1	Principales	3,3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,5	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	2,1	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	4,1	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	2,7	Reprobada
Calculo_diferencial	Artes	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	3,5	Aprobada
Calculo_diferencial	Artes	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	3,2	Aprobada
Calculo_diferencial	Económicas	2018-1	uembarrio	3,8	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	3,6	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	0	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	1	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	0,2	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,6	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,8	Aprobada
Calculo_diferencial	Artes	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	0,6	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	2,6	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Ingenierias	2018-1	Principales	1,7	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	uembarrio	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	2	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	2,2	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	3,3	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	3,3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,8	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Artes	2018-1	Principales	0,9	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,6	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	3,4	Aprobada
Calculo_diferencial	Económicas	2018-1	uembarrio	3,5	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	1,6	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	3,5	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	2,5	Reprobada
Calculo_diferencial	Exactas	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Económicas	2018-1	Principales	3,7	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	0	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	4	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	0,2	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,2	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,6	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	uembarrio	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,4	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	3,8	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	0,7	Reprobada
Calculo_diferencial	Económicas	2018-1	uembarrio	2,5	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	uembarrio	2,3	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,2	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	0,7	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	0,4	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	4,5	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,5	Reprobada
Calculo_diferencial	Artes	2018-1	Principales	3,9	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,4	Reprobada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	0	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	0,6	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	0,7	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	0,9	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	4,2	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	0	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	0	Reprobada
Calculo_diferencial	Exactas	2018-1	Principales	0,7	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	4,4	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	4,4	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,5	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,2	Aprobada
Calculo_diferencial	Artes	2018-1	Principales	1	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	3,1	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,6	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,7	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,4	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,9	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,2	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	1,2	Reprobada
Calculo_diferencial	Exactas	2018-1	Principales	3	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	2,6	Reprobada
Calculo_diferencial	Artes	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	0,5	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,7	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	2,3	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	3,8	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	1,8	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	4,6	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,8	Aprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	0,2	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Artes	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Económicas	2018-1	Principales	2,8	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	3,2	Aprobada
Calculo_diferencial	Económicas	2018-1	Principales	20	Inasistencia
Calculo_diferencial	Económicas	2018-1	Principales	0	Reprobada
Calculo_diferencial	Ingenierias	2018-1	Principales	3,3	Aprobada
Calculo_diferencial	Exactas	2018-1	Principales	2,5	Reprobada
Calculo_diferencial	Económicas	2018-1	Principales	8	Cancelada
Calculo_diferencial	Ingenierias	2018-1	Principales	8	Cancelada
Calculo_diferencial	Exactas	2018-1	Principales	3	Aprobada
